Bezeichnung_(Bezirksregion),Straftaten(insgesamt),Raub(insgesamt),"Straßenraub,Handtaschen-raub",Körper-verletzungen(insgesamt),Gefährl._und_schwere_Körper-verletzung,"Freiheits-beraubung,_Nötigung,Bedrohung,_Nachstellung",Diebstahl(insgesamt),Diebstahl_von_Kraftwagen,Diebstahl_an/aus_Kfz,Fahrrad-diebstahl,Wohnraum-einbruch,Branddelikte(insgesamt),Brand-stiftung,Sach-beschädigung(insgesamt),Sach-beschädigung_durch_Graffiti,Rauschgift_Delikte,Kieztaten,Jahr
Friedrichshain-Kreuzberg,60354,947,574,4605,1453,1084,29984,475,3156,4646,775,294,116,5294,1448,4431,11368,2016
Pankow,43058,316,163,2834,628,1035,23824,720,2983,4835,1232,253,99,4296,1368,595,9371,2016
Charlottenburg-Wilmersdorf,55242,523,292,3919,865,1418,29432,755,4345,3446,1096,175,83,3573,809,948,9441,2016
Spandau,26444,265,155,2909,670,1052,12047,307,1721,1071,705,166,67,2324,316,446,6370,2016
Steglitz-Zehlendorf,25537,162,88,1754,352,747,13972,601,2611,2543,1162,142,66,2645,614,361,4528,2016
Tempelhof-Schöneberg,40896,415,255,3286,696,1145,20586,745,3072,3032,986,226,90,3456,712,1041,8239,2016
Neukölln,45437,513,290,4026,1191,1411,22311,633,3118,2175,1228,239,116,4544,654,1107,10662,2016
Treptow-Köpenick,23994,146,85,2152,470,718,12524,676,1772,2772,693,161,81,2611,752,371,4979,2016
Marzahn-Hellersdorf,24338,235,140,3005,538,898,10394,649,1892,1088,638,210,64,2941,677,357,6188,2016
Lichtenberg,28521,237,147,2686,552,829,14126,807,2599,2193,660,177,75,2715,606,429,6181,2016
Reinickendorf,33207,311,162,2851,703,1173,13841,404,2274,1297,959,177,65,2803,664,971,6936,2016
Mitte,98046,1033,589,7107,1923,2078,46613,509,4846,4594,1265,253,110,5256,1245,2638,15078,2015
Friedrichshain-Kreuzberg,67357,1027,581,4727,1436,1106,32845,513,3325,4215,866,228,93,4723,1338,5571,11223,2015
